# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.9" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/par2_mito_featureCounts.txt" "out/filtered/par2_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/par2_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	17648
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	2881
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	9198
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	515
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4773839
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	7906
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	560761
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	2
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	153
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	91
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	218
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	9467
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	567
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	132024
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	6702
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	4
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	84008
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	4763767
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	191838
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2216245
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	30627
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	294445
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	2479613
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	26146
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	7083
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	27396
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	45071
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	575
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	62608
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	628177
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	738420
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	20745
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	493
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	70339
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	215192
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	4194242
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	16444
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	34746
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	84321
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	3876479
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	117
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	183
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	150
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	65
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	551
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	4219
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1150467
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	459754
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	22373
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	198575
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	51
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	238428
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1072044
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	2627
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	1916
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	1217
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	20929
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	2143862
LSUFG	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1212	1417	-	206	0
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	4007
